group;friendlyName;description;target;rights
WittinglyCentralFireWhiskyOnTheRocks;WittinglyCentralFireWhiskyOnTheRocks;Crumbs Gordian knot to the receptacles;WittinglyCentralFireWhiskyOnTheRocksRECEPTACLE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
OverlandPsychosocialGenusSteganopus;OverlandPsychosocialGenusSteganopus;Impersonates Limners to the strongrooms;OverlandPsychosocialGenusSteganopusSTRONGROOM;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
GrandioselyUnchastenedLegates;GrandioselyUnchastenedLegates;Verminates Plastic art to the repertorys;GrandioselyUnchastenedLegatesREPERTORY;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ToALesserExtentTearlessNotus;ToALesserExtentTearlessNotus;Fowls Lager beer to the suites;ToALesserExtentTearlessNotusSUITE;EXECUTE,WRITE,RENAME,STROKE
DyslogisticallyMoonEyedHomeliness;DyslogisticallyMoonEyedHomeliness;Gimlets Revisal to the rooms;DyslogisticallyMoonEyedHomelinessROOM;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
IdyllicallyUnperformedLumberers;IdyllicallyUnperformedLumberers;Cowers Wootz to the scopes;IdyllicallyUnperformedLumberersSCOPE;PUNCH,WRITE,RENAME,STROKE
IncitinglyGonidicShellbarks;IncitinglyGonidicShellbarks;Ravens HydroDIURIL to the depots;IncitinglyGonidicShellbarksDEPOT;LAUGH,WRITE,RENAME
SnatchinglyFailingHumpbacks;SnatchinglyFailingHumpbacks;Substantializes Jack-a-dandy to the sepulchres;SnatchinglyFailingHumpbacksSEPULCHRE;EXECUTE,WRITE,RENAME
DorsallyCrisscrossedDrawers;DorsallyCrisscrossedDrawers;Relives White mullet to the closets;DorsallyCrisscrossedDrawersCLOSET;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SnidelyRelaxedBegonias;SnidelyRelaxedBegonias;Bureaucratizes Bezoars to the quarterss;SnidelyRelaxedBegoniasQUARTERS;FONDLE,WRITE
AseaDiffusedSnookers;AseaDiffusedSnookers;Imbarks Pupa to the depositorys;AseaDiffusedSnookersDEPOSITORY;FONDLE,WRITE,RENAME
LoosestXiphoidSchistosomes;LoosestXiphoidSchistosomes;Cushions Choloepus to the storerooms;LoosestXiphoidSchistosomesSTOREROOM;EXECUTE
PiquantlyLocomobileGenusEucinostomus;PiquantlyLocomobileGenusEucinostomus;Shuttlecocks Stodginess to the safe deposits;PiquantlyLocomobileGenusEucinostomusSAFE DEPOSIT;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
CoaxinglyPetrographicalRefineries;CoaxinglyPetrographicalRefineries;Kyanises Vulgarian to the safes;CoaxinglyPetrographicalRefineriesSAFE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
SlamBangBigPayees;SlamBangBigPayees;Disannuls Tribuneships to the caverns;SlamBangBigPayeesCAVERN;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
ClannishlyPomaceousEncomiasts;ClannishlyPomaceousEncomiasts;Circles Towpaths to the abodes;ClannishlyPomaceousEncomiastsABODE;ADJUST,WRITE
FemininelyCadgyWoodcuts;FemininelyCadgyWoodcuts;Snuffles Suffragist to the underground chambers;FemininelyCadgyWoodcutsUNDERGROUND CHAMBER;EXECUTE,WRITE,RENAME,STROKE,PUNCH
LatelyGlimmeringSundials;LatelyGlimmeringSundials;Fluoridises Pontoon to the lodgingss;LatelyGlimmeringSundialsLODGINGS;LICK,WRITE,RENAME
AllargandoNepotisticPiddles;AllargandoNepotisticPiddles;Impeaches Half gainer to the basements;AllargandoNepotisticPiddlesBASEMENT;LICK,WRITE,RENAME,STROKE,PUNCH
DisproportionablyGemologicalAdvisableness;DisproportionablyGemologicalAdvisableness;Destroys Transfixions to the chambers;DisproportionablyGemologicalAdvisablenessCHAMBER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE
RashlyTwoChannelHaslets;RashlyTwoChannelHaslets;Shrugs Ruminantia to the cellars;RashlyTwoChannelHasletsCELLAR;FONDLE
UnwillinglyCommendatoryGarganeys;UnwillinglyCommendatoryGarganeys;Weans Playboy to the undercrofts;UnwillinglyCommendatoryGarganeysUNDERCROFT;FIST,WRITE,RENAME
LongAgoIchthyicLatentDiabetes;LongAgoIchthyicLatentDiabetes;Unbuilds Potherb to the stores;LongAgoIchthyicLatentDiabetesSTORE;WRITE
PresumablyWhelpedSorrels;PresumablyWhelpedSorrels;Delegates Trotsky to the quarterss;PresumablyWhelpedSorrelsQUARTERS;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
InconsequentlyFloodedKnifes;InconsequentlyFloodedKnifes;Forwards Mornings to the treasure houses;InconsequentlyFloodedKnifesTREASURE HOUSE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SubstantiallyNicestMorgans;SubstantiallyNicestMorgans;Joy-rides Undersets to the crypts;SubstantiallyNicestMorgansCRYPT;STEW,WRITE,RENAME,STROKE
DiscreetlyGreedyOculars;DiscreetlyGreedyOculars;Keypunches Barmbracks to the digss;DiscreetlyGreedyOcularsDIGS;PUNCH,WRITE,RENAME
DemocraticallySustentativeConsulters;DemocraticallySustentativeConsulters;Interrelates Sarrusophones to the abodes;DemocraticallySustentativeConsultersABODE;RENAME
WealthilyTetraethylTaters;WealthilyTetraethylTaters;Censes Family Xiphiidae to the underground chambers;WealthilyTetraethylTatersUNDERGROUND CHAMBER;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
DayByDayDisgracedBloopers;DayByDayDisgracedBloopers;Toiles Snoopers to the funds;DayByDayDisgracedBloopersFUND;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
TernatelyIncoordinateCommuniques;TernatelyIncoordinateCommuniques;Kowtows Pachycephala to the treasures;TernatelyIncoordinateCommuniquesTREASURE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
OerGnarlyGenusHexagrammos;OerGnarlyGenusHexagrammos;Laurels Tunneller to the safe deposits;OerGnarlyGenusHexagrammosSAFE DEPOSIT;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SureSicanianStrangers;SureSicanianStrangers;Bastardises Cubicle to the apartmentss;SureSicanianStrangersAPARTMENTS;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
AboveBoardGeodesicReapers;AboveBoardGeodesicReapers;Blackbirds Fantasist to the areas;AboveBoardGeodesicReapersAREA;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
HereinbeforeAmenorrheicBombards;HereinbeforeAmenorrheicBombards;Feuds Popocatepetl to the places;HereinbeforeAmenorrheicBombardsPLACE;READ
FavourablyUnachievableFootways;FavourablyUnachievableFootways;Politicizes Avertin to the depositorys;FavourablyUnachievableFootwaysDEPOSITORY;READ,WRITE,RENAME
HugeouslyEctotrophicPsoriaticArthritis;HugeouslyEctotrophicPsoriaticArthritis;Fingers Derangement to the resrvoirs;HugeouslyEctotrophicPsoriaticArthritisRESRVOIR;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
WeaklyUnsailedTrespassers;WeaklyUnsailedTrespassers;Corrivals Pharyngotomies to the depots;WeaklyUnsailedTrespassersDEPOT;READ,WRITE,RENAME
UnsuspectinglyPutridQuadrants;UnsuspectinglyPutridQuadrants;Trounces Vine to the treasurys;UnsuspectinglyPutridQuadrantsTREASURY;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
UnreallyCanineAmazonas;UnreallyCanineAmazonas;Probes Rescues to the safes;UnreallyCanineAmazonasSAFE;EXECUTE,WRITE,RENAME
UncharitablySynaestheticTwelves;UncharitablySynaestheticTwelves;Allegorises Backscatters to the safes;UncharitablySynaestheticTwelvesSAFE;PUNCH
FurtivelyMacaronicTachographs;FurtivelyMacaronicTachographs;Sleys Tracksuit to the containers;FurtivelyMacaronicTachographsCONTAINER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
SociobiologicallyLeerySanders;SociobiologicallyLeerySanders;Predicts Floorshow to the depots;SociobiologicallyLeerySandersDEPOT;FONDLE
BetweenUninspiredStigmatics;BetweenUninspiredStigmatics;Digitises Escarole to the treasurys;BetweenUninspiredStigmaticsTREASURY;STEW,WRITE,RENAME,STROKE,PUNCH
ShambolicallyCorpuscularChampignons;ShambolicallyCorpuscularChampignons;Buffaloes Raids to the safes;ShambolicallyCorpuscularChampignonsSAFE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
PerseveringlyUnsubmissiveLondoners;PerseveringlyUnsubmissiveLondoners;Effectuates Tarragona to the scopes;PerseveringlyUnsubmissiveLondonersSCOPE;OBSERVE,WRITE
LachrymoselyContinentalBedclothes;LachrymoselyContinentalBedclothes;Water-skis PX to the closets;LachrymoselyContinentalBedclothesCLOSET;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
ShowmanlyMonophthongalPerturbators;ShowmanlyMonophthongalPerturbators;Toss Autobiography to the tombs;ShowmanlyMonophthongalPerturbatorsTOMB;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
UnmercifullyUpcurvedInverses;UnmercifullyUpcurvedInverses;Missends Gregorian mode to the apartmentss;UnmercifullyUpcurvedInversesAPARTMENTS;ADJUST,WRITE,RENAME,STROKE
SupremelyCheekyOchres;SupremelyCheekyOchres;Refashions Circassian to the territorys;SupremelyCheekyOchresTERRITORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
VanwardBiblessMockers;VanwardBiblessMockers;Lumbers Roman calendar to the areas;VanwardBiblessMockersAREA;LICK,WRITE
ReposefullyEnunciablePedestrians;ReposefullyEnunciablePedestrians;Mollycoddles Family Coreidae to the depositorys;ReposefullyEnunciablePedestriansDEPOSITORY;LICK,WRITE,RENAME,STROKE,PUNCH
TherebyContaminatingParisons;TherebyContaminatingParisons;Determines Embalmment to the underground chambers;TherebyContaminatingParisonsUNDERGROUND CHAMBER;STEW,WRITE,RENAME,STROKE,PUNCH
AcquiescentlyImpressibleAcuteGastritis;AcquiescentlyImpressibleAcuteGastritis;Reframes Spans to the safes;AcquiescentlyImpressibleAcuteGastritisSAFE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
UxoriallyTetracidMansions;UxoriallyTetracidMansions;Stage-manages Genus Meriones to the mines;UxoriallyTetracidMansionsMINE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
TerrestriallyUnsuccessiveTrinectesMaculatus;TerrestriallyUnsuccessiveTrinectesMaculatus;Unsteps Democracy to the treasure houses;TerrestriallyUnsuccessiveTrinectesMaculatusTREASURE HOUSE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
RapaciouslyProcliticModistes;RapaciouslyProcliticModistes;Realigns Microscopium to the expanses;RapaciouslyProcliticModistesEXPANSE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
MechanicallyOttomanAccents;MechanicallyOttomanAccents;Botches Mantraps to the treasurys;MechanicallyOttomanAccentsTREASURY;FIST,WRITE,RENAME,STROKE,PUNCH
CajolinglyOcreateArchonships;CajolinglyOcreateArchonships;Champs Adornments to the depositorys;CajolinglyOcreateArchonshipsDEPOSITORY;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
EnticinglyAntennalWordiness;EnticinglyAntennalWordiness;Schemes Usneas to the receptacles;EnticinglyAntennalWordinessRECEPTACLE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
RepeatedlyMassierLamprisGuttatus;RepeatedlyMassierLamprisGuttatus;Sexes Corporal to the vaults;RepeatedlyMassierLamprisGuttatusVAULT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
AmissScapularyCoadjutants;AmissScapularyCoadjutants;Throbs Shop to the stores;AmissScapularyCoadjutantsSTORE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
UnsociallyAccordionGoosefoots;UnsociallyAccordionGoosefoots;Purgings Window glass to the treasurys;UnsociallyAccordionGoosefootsTREASURY;STEW
SureSelfServingPrayers;SureSelfServingPrayers;Compress Headline to the lodgingss;SureSelfServingPrayersLODGINGS;FIST,WRITE,RENAME,STROKE,PUNCH
TandemCoverableCommonwealths;TandemCoverableCommonwealths;Solubilizes Bristle brush to the safe deposits;TandemCoverableCommonwealthsSAFE DEPOSIT;RENAME
EndlongExemptOperations;EndlongExemptOperations;Gazes Openbill to the repertorys;EndlongExemptOperationsREPERTORY;PUNCH,WRITE,RENAME,STROKE
ImplacablyMonocarboxylicProximities;ImplacablyMonocarboxylicProximities;Radios Acaridiasis to the crypts;ImplacablyMonocarboxylicProximitiesCRYPT;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
FemininelyGentledBeneficences;FemininelyGentledBeneficences;Rollicks Neologism to the storing places;FemininelyGentledBeneficencesSTORING PLACE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
WonderinglySolemnInhabitants;WonderinglySolemnInhabitants;Badges Junction rectifier to the areas;WonderinglySolemnInhabitantsAREA;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
InShortVoyeuristicalIniquities;InShortVoyeuristicalIniquities;Fends Phoenicurus to the burial chambers;InShortVoyeuristicalIniquitiesBURIAL CHAMBER;STROKE,WRITE,RENAME
FreeOfChargeLubricativeGenusSialis;FreeOfChargeLubricativeGenusSialis;Decompress Atomic number 72 to the rooms;FreeOfChargeLubricativeGenusSialisROOM;LAUGH
DocilelyStoneDeafCynomysLudovicianus;DocilelyStoneDeafCynomysLudovicianus;Nabs River otter to the safes;DocilelyStoneDeafCynomysLudovicianusSAFE;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
OnlyTooUnchristianlyCalibers;OnlyTooUnchristianlyCalibers;Smudges Abators to the suites;OnlyTooUnchristianlyCalibersSUITE;EXECUTE,WRITE,RENAME
MidwayUnmusicalCurls;MidwayUnmusicalCurls;Classifies Malawi to the burial chambers;MidwayUnmusicalCurlsBURIAL CHAMBER;PUNCH,WRITE,RENAME,STROKE
RustilyUnfossiliferousPunchPress;RustilyUnfossiliferousPunchPress;Metallizes Naval gun to the safes;RustilyUnfossiliferousPunchPressSAFE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
NoteworthilyClubbyGenusDasypus;NoteworthilyClubbyGenusDasypus;Incrassates Proteome to the burial chambers;NoteworthilyClubbyGenusDasypusBURIAL CHAMBER;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
NoncompetitivelyFardelBoundEvections;NoncompetitivelyFardelBoundEvections;Retransmits Immunologic response to the areas;NoncompetitivelyFardelBoundEvectionsAREA;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
HourlyAnaphoricDrumheads;HourlyAnaphoricDrumheads;Interfolds Six-shooter to the treasure troves;HourlyAnaphoricDrumheadsTREASURE TROVE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
SecludedlyCloveryPotamophis;SecludedlyCloveryPotamophis;Birdies Polymerizations to the storing places;SecludedlyCloveryPotamophisSTORING PLACE;STEW,WRITE
TenablyUndiscussedAristides;TenablyUndiscussedAristides;Retypes Jinrikishas to the depositorys;TenablyUndiscussedAristidesDEPOSITORY;EXECUTE,WRITE,RENAME,STROKE,PUNCH
InsomuchInsuppressibleGrinds;InsomuchInsuppressibleGrinds;Tinnings Biplanes to the cellars;InsomuchInsuppressibleGrindsCELLAR;EXECUTE,WRITE
IrrespectivelyEbbExpressivities;IrrespectivelyEbbExpressivities;Juxtaposes Dogfishes to the cellars;IrrespectivelyEbbExpressivitiesCELLAR;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
UnconventionallyIdentifyingBattleOfYpres;UnconventionallyIdentifyingBattleOfYpres;Moonshines Bucerotidae to the treasure houses;UnconventionallyIdentifyingBattleOfYpresTREASURE HOUSE;STEW,WRITE,RENAME
NervelesslyHyperphysicalGalvanisers;NervelesslyHyperphysicalGalvanisers;Permutates Single-spacing to the resrvoirs;NervelesslyHyperphysicalGalvanisersRESRVOIR;FONDLE,WRITE,RENAME
InconsiderablyChalkyEngrossments;InconsiderablyChalkyEngrossments;Hepatises Fire salamander to the lodgingss;InconsiderablyChalkyEngrossmentsLODGINGS;EXECUTE,WRITE,RENAME,STROKE,PUNCH
HeedfullyCrematoryConvertiplanes;HeedfullyCrematoryConvertiplanes;Incases Numida meleagris to the banks;HeedfullyCrematoryConvertiplanesBANK;EXECUTE,WRITE,RENAME,STROKE,PUNCH
NaivelySteadyGoingOofs;NaivelySteadyGoingOofs;Whoops Island dispenser to the depots;NaivelySteadyGoingOofsDEPOT;STEW,WRITE,RENAME,STROKE,PUNCH
NopeAssurgentImmediacies;NopeAssurgentImmediacies;Laces Desiccants to the safes;NopeAssurgentImmediaciesSAFE;ADJUST,WRITE,RENAME,STROKE
CompetitivelyPeachyColouredDistentions;CompetitivelyPeachyColouredDistentions;Fubs Synthesises to the storing places;CompetitivelyPeachyColouredDistentionsSTORING PLACE;READ,WRITE,RENAME,STROKE
AsIfByMagicAdductingAncones;AsIfByMagicAdductingAncones;Elongates Twinkie to the territorys;AsIfByMagicAdductingAnconesTERRITORY;LICK
AmusinglyCornFedSelenates;AmusinglyCornFedSelenates;Demobilizes Crossovers to the scopes;AmusinglyCornFedSelenatesSCOPE;FIST,WRITE,RENAME,STROKE,PUNCH
DomineeringlyConnaturalActresses;DomineeringlyConnaturalActresses;Twiddles Rhabdomancy to the depots;DomineeringlyConnaturalActressesDEPOT;ADJUST
BoilingVelvetSteenings;BoilingVelvetSteenings;Daggings Critiques to the vaults;BoilingVelvetSteeningsVAULT;LICK,WRITE
AcquisitivelyAntonymousDistringas;AcquisitivelyAntonymousDistringas;Tariffs Fluorosis to the depositorys;AcquisitivelyAntonymousDistringasDEPOSITORY;PUNCH,WRITE,RENAME
FarAndAwayFinalRetardments;FarAndAwayFinalRetardments;Mirrors Ground squirrel to the closets;FarAndAwayFinalRetardmentsCLOSET;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE
RegardlessSubvitreousBolivianos;RegardlessSubvitreousBolivianos;Clobbers Dadaists to the depositorys;RegardlessSubvitreousBolivianosDEPOSITORY;READ,WRITE,RENAME,STROKE,PUNCH,OBSERVE
UniversallyTransfusableClannishness;UniversallyTransfusableClannishness;Hoots Xerosis to the stores;UniversallyTransfusableClannishnessSTORE;FONDLE,WRITE,RENAME,STROKE
RepresentativelyRapaciousMaples;RepresentativelyRapaciousMaples;Pull-outs Carbonisation to the places;RepresentativelyRapaciousMaplesPLACE;READ,WRITE
WordForWordGarmentedShrubbiness;WordForWordGarmentedShrubbiness;Dispaupers Midsummer Day to the apartmentss;WordForWordGarmentedShrubbinessAPARTMENTS;FONDLE,WRITE
VerdantlyOversuspiciousGlossarists;VerdantlyOversuspiciousGlossarists;Escallops Vibrio to the receptacles;VerdantlyOversuspiciousGlossaristsRECEPTACLE;EXECUTE,WRITE,RENAME,STROKE
ToTheLetterAsceticalClaimants;ToTheLetterAsceticalClaimants;Prettifies Shirt to the vaults;ToTheLetterAsceticalClaimantsVAULT;LICK,WRITE,RENAME
IrreversiblyDynamicalPauperisations;IrreversiblyDynamicalPauperisations;Hotters Foreordination to the suites;IrreversiblyDynamicalPauperisationsSUITE;FONDLE,WRITE,RENAME
BanefullyConsummatedSparables;BanefullyConsummatedSparables;Equalises Paronychia to the undercrofts;BanefullyConsummatedSparablesUNDERCROFT;EXECUTE,WRITE
DecimallyHypersensitivePhonemes;DecimallyHypersensitivePhonemes;Subleases Centrioles to the undercrofts;DecimallyHypersensitivePhonemesUNDERCROFT;ADJUST,WRITE,RENAME,STROKE,PUNCH
ExotericallyUnmaterialHomoSapiensSapiens;ExotericallyUnmaterialHomoSapiensSapiens;Oversteers Depurations to the spaces;ExotericallyUnmaterialHomoSapiensSapiensSPACE;EXECUTE,WRITE,RENAME,STROKE,PUNCH
ConditionallyInsensateVavasories;ConditionallyInsensateVavasories;Bluings Installers to the safes;ConditionallyInsensateVavasoriesSAFE;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST,FIST
InPassingSubacuteAntimonates;InPassingSubacuteAntimonates;Braids Exegetics to the banks;InPassingSubacuteAntimonatesBANK;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
PhreneticallySelfPropellingPapas;PhreneticallySelfPropellingPapas;Stalagmometers Setters to the caverns;PhreneticallySelfPropellingPapasCAVERN;ADJUST,WRITE,RENAME,STROKE
TrippinglyUnjointedChrisms;TrippinglyUnjointedChrisms;Scatters Zoophilia to the treasure troves;TrippinglyUnjointedChrismsTREASURE TROVE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
ObsequiouslyAgeOldChamisos;ObsequiouslyAgeOldChamisos;Forgettings Lakes to the areas;ObsequiouslyAgeOldChamisosAREA;STEW,WRITE,RENAME
ChiefEvadableApparatus;ChiefEvadableApparatus;Repopulates Thiodiphenylamine to the burial chambers;ChiefEvadableApparatusBURIAL CHAMBER;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
FilchinglyRemittentBrontosaurs;FilchinglyRemittentBrontosaurs;Dissertates Paxton to the strongrooms;FilchinglyRemittentBrontosaursSTRONGROOM;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
LinguallyAdscititiousQuotas;LinguallyAdscititiousQuotas;Merges Dryer to the quarterss;LinguallyAdscititiousQuotasQUARTERS;ADJUST,WRITE,RENAME,STROKE,PUNCH
InColdBloodPerspectivalZonings;InColdBloodPerspectivalZonings;Curdles Intercommunity to the scopes;InColdBloodPerspectivalZoningsSCOPE;FIST,WRITE,RENAME
PassivelyDeterminatelyProctorships;PassivelyDeterminatelyProctorships;Cables Rung to the territorys;PassivelyDeterminatelyProctorshipsTERRITORY;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
DisposedlyDelineatedColorations;DisposedlyDelineatedColorations;Glitters Ted to the treasure houses;DisposedlyDelineatedColorationsTREASURE HOUSE;PUNCH,WRITE,RENAME
EvasivelyAtwitterWordiness;EvasivelyAtwitterWordiness;Roosts Chest pain to the rooms;EvasivelyAtwitterWordinessROOM;RENAME
BarefacedlySexpartiteSalubriousness;BarefacedlySexpartiteSalubriousness;Clapperclaws Shares to the vaults;BarefacedlySexpartiteSalubriousnessVAULT;FONDLE
BellicoselyDirectedPhototaxis;BellicoselyDirectedPhototaxis;Disembarrasses Hindrances to the caches;BellicoselyDirectedPhototaxisCACHE;RENAME
HeelsOverHeadLaminarCeratitis;HeelsOverHeadLaminarCeratitis;Fullbacks Strays to the undercrofts;HeelsOverHeadLaminarCeratitisUNDERCROFT;EXECUTE,WRITE,RENAME,STROKE
InPrincipleChirpiestGrillades;InPrincipleChirpiestGrillades;Institutes Magnifico to the rooms;InPrincipleChirpiestGrilladesROOM;PUNCH
IrresistiblySlinkierReinvigorations;IrresistiblySlinkierReinvigorations;Attaints Fetishisms to the repertorys;IrresistiblySlinkierReinvigorationsREPERTORY;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
CelestiallyPolypodAudiotapes;CelestiallyPolypodAudiotapes;Punches Famines to the repositorys;CelestiallyPolypodAudiotapesREPOSITORY;READ,WRITE,RENAME,STROKE
LuxuriouslyResurgentPlasmapheresis;LuxuriouslyResurgentPlasmapheresis;Girts Deviance to the abodes;LuxuriouslyResurgentPlasmapheresisABODE;RENAME,WRITE
ArchlyHerblessMultigravidas;ArchlyHerblessMultigravidas;Liaises Philemon to the vaults;ArchlyHerblessMultigravidasVAULT;LICK,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
InOtherWordsBranniestComeliness;InOtherWordsBranniestComeliness;Hazings Vocabulary to the vaults;InOtherWordsBranniestComelinessVAULT;FONDLE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
ShrinkinglyBayesianTrifoliums;ShrinkinglyBayesianTrifoliums;Variegates Trets to the safes;ShrinkinglyBayesianTrifoliumsSAFE;LAUGH,WRITE
HereuntoOogamousSpares;HereuntoOogamousSpares;Mingles Shellacking to the receptacles;HereuntoOogamousSparesRECEPTACLE;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
IrresponsiblyFragrantProboscidians;IrresponsiblyFragrantProboscidians;Goes Deprivation to the quarterss;IrresponsiblyFragrantProboscidiansQUARTERS;FONDLE,WRITE,RENAME
PowerlesslySustainableHemitripterusAmericanus;PowerlesslySustainableHemitripterusAmericanus;Lessons Graphitization to the safety deposits;PowerlesslySustainableHemitripterusAmericanusSAFETY DEPOSIT;PUNCH,WRITE
DecidedlyUngarneredOphthalmitis;DecidedlyUngarneredOphthalmitis;Squawks Burweed to the depositorys;DecidedlyUngarneredOphthalmitisDEPOSITORY;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ
StepByStepStupefactiveEukaryotes;StepByStepStupefactiveEukaryotes;Slubbers Granary to the suites;StepByStepStupefactiveEukaryotesSUITE;ADJUST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE
JoyfullyUnspentChampers;JoyfullyUnspentChampers;Totals Compound lens to the chambers;JoyfullyUnspentChampersCHAMBER;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE
UnkindlyLiquefacientWeaknesses;UnkindlyLiquefacientWeaknesses;Jawbones Boiling to the containers;UnkindlyLiquefacientWeaknessesCONTAINER;LICK,WRITE,RENAME,STROKE,PUNCH
AcockCostumedCustomers;AcockCostumedCustomers;Triggers Topology to the safes;AcockCostumedCustomersSAFE;ADJUST,WRITE,RENAME
MayhapStalworthSpyglasses;MayhapStalworthSpyglasses;Appals Inelegance to the sepulchres;MayhapStalworthSpyglassesSEPULCHRE;PUNCH,WRITE,RENAME
EathBolographicMouthpieces;EathBolographicMouthpieces;Glamorizes Programmer to the sepulchres;EathBolographicMouthpiecesSEPULCHRE;RENAME
PlurallyHardHandedSpouts;PlurallyHardHandedSpouts;Gropes Jettons to the undercrofts;PlurallyHardHandedSpoutsUNDERCROFT;LAUGH,WRITE,RENAME,STROKE
CephaladReflexHomegirls;CephaladReflexHomegirls;Outvoices Monochord to the scopes;CephaladReflexHomegirlsSCOPE;EXECUTE,WRITE,RENAME,STROKE
WretchedlyBreathedCarbineers;WretchedlyBreathedCarbineers;Churns Closed-loop system to the safety deposits;WretchedlyBreathedCarbineersSAFETY DEPOSIT;FONDLE
